0117981020-0-0,,2020-06-13T11:59:59
0119211020-D-0-0,,2020-06-23T11:59:59
0,BD-S005,28.47,0.8
1,BD-S006,34,30
2,BD-S012,66,1
3,BD-S025,67,0
4,BD-S012,67,1
5,BD-S016,68.66,2.66
0119221020-D-0-0,,2020-06-23T11:59:59
0,BD-S005,65.33,0.8
1,BD-S006,67.73,30
2,BD-S012,105.73,1
3,BD-S025,106.73,0
4,BD-S012,106.73,1
5,BD-S016,108.19,2.66
0119231020-D-0-0,,2020-06-20T11:59:59
0119251020-P-0-0,,2020-06-20T11:59:59
0,BD-S005,4.8,0.8
1,BD-S007,9.05,1.14
2,BD-S016,13.23,0.61
3,BD-S011,13.84,0
4,BD-S013,13.84,1.77
5,BD-S020,15.61,2.66
0119261020-0-0,,2020-06-24T11:59:59
0,BD-S005,63.18,0.8
1,BD-S007,76.82,1.14
2,BD-S016,85.08,0.61
3,BD-S011,85.69,0
4,BD-S008,85.69,1.77
5,BD-S011,87.46,0
6,BD-S013,87.46,1.77
7,BD-S020,91.68,2.66
0119271020-0-0,,2020-06-21T11:59:59
0,BD-S005,109.67,0.8
1,BD-S008,150.78,1.77
2,BD-S016,159.35,0.61
3,BD-S011,159.96,0
4,BD-S008,161.12,1.77
5,BD-S019,163.78,2.66
0119281020-0-0,,2020-06-24T11:59:59
0,BD-S005,108.87,0.8
1,BD-S007,147.94,1.14
2,BD-S016,158.74,0.61
3,BD-S011,159.35,0
4,BD-S008,159.35,1.77
5,BD-S019,161.12,2.66
0119291020-0-0,,2020-06-26T11:59:59
0,BD-S005,108.07,0.8
1,BD-S007,146.8,1.14
2,BD-S016,147.94,0.61
3,BD-S011,148.55,0
4,BD-S008,149.01,1.77
5,BD-S019,150.78,2.66
0119301020-0-0,,2020-06-15T11:59:59
0,BD-S005,61.58,0.8
1,BD-S007,72.6,1.14
2,BD-S016,83.69,0.61
3,BD-S011,84.3,0
4,BD-S007,84.83,1.14
5,BD-S020,89.02,2.66
0119311020-0-0,,2020-06-20T11:59:59
0,BD-S005,60.78,0.8
1,BD-S007,71.46,1.14
2,BD-S016,83.08,0.61
3,BD-S010,83.69,0
4,BD-S007,83.69,1.14
5,BD-S020,86.36,2.66
0119321020-0-0,,2020-06-16T11:59:59
0,BD-S005,59.98,0.8
1,BD-S007,70.32,1.14
2,BD-S016,81.73,0.61
3,BD-S010,82.34,0
4,BD-S007,82.34,1.14
5,BD-S020,83.7,2.66
0119331020-0-0,,2020-06-07T11:59:59
0,BD-S004,0,0.5
1,BD-S005,1.6,0.8
2,BD-S007,3.88,1.14
3,BD-S016,5.02,0.61
4,BD-S010,5.63,0
5,BD-S007,5.63,1.14
6,BD-S010,6.77,0
7,BD-S013,6.77,1.77
8,BD-S020,8.54,2.66
0204582740-0-0,,2020-06-15T11:59:59
0,BD-S005,87.65,1.33
1,BD-S007,90.97,1.14
2,BD-S005,92.11,1.33
3,BD-S012,93.44,1
4,BD-S016,110.85,0.61
5,BD-S018,111.46,0
0205772740-0-0,,2020-06-22T11:59:59
0,BD-S005,86.32,1.33
1,BD-S006,96.4,30
2,BD-S012,130.33,1
3,BD-S016,131.33,0.61
4,BD-S010,131.94,0
5,BD-S008,138.7,1.77
6,BD-S010,140.47,0
7,BD-S008,140.47,1.77
8,BD-S009,142.24,0
9,BD-S008,142.24,1.77
10,BD-S019,144.01,2.66
0205782740-0-0,,2020-06-22T11:59:59
0,BD-S005,84.99,1.33
1,BD-S006,96.4,30
2,BD-S012,129.33,1
3,BD-S016,130.33,0.61
4,BD-S010,130.94,0
5,BD-S008,133.39,1.77
6,BD-S010,135.16,0
7,BD-S008,135.16,1.77
8,BD-S009,136.93,0
9,BD-S008,136.93,1.77
10,BD-S019,139.59,2.66
0205792740-0-0,,2020-06-24T11:59:59
0,BD-S005,83.66,1.33
1,BD-S006,96.4,30
2,BD-S012,128.33,1
3,BD-S016,129.33,0.61
4,BD-S025,129.94,0
5,BD-S007,129.94,1.14
6,BD-S010,131.08,0
7,BD-S008,131.62,1.77
8,BD-S009,133.39,0
9,BD-S013,135.16,1.77
10,BD-S015,136.93,0
11,BD-S019,136.93,2.66
0205802600-0-1,,2020-06-30T11:59:59
0,BD-S005,82.33,1.33
1,BD-S006,95.33,30
2,BD-S012,127.33,1
3,BD-S016,128.33,0.61
4,BD-S010,128.94,0
5,BD-S008,129.85,1.77
6,BD-S010,131.62,0
7,BD-S013,133.39,1.77
8,BD-S020,138.03,2.66
0205802600-0-2,,2020-06-25T11:59:59
0206192680-0-0,,2020-06-22T11:59:59
0,BD-S005,81,1.33
1,BD-S006,95.33,30
2,BD-S012,126.33,1
3,BD-S016,127.33,0.61
4,BD-S025,127.94,0
5,BD-S007,128.08,1.14
6,BD-S010,129.22,0
7,BD-S013,131.62,1.77
8,BD-S020,135.37,2.66
0206202680-0-0,,2020-06-22T11:59:59
0,BD-S005,79.67,1.33
1,BD-S006,95.33,30
2,BD-S012,125.33,1
3,BD-S016,126.33,0.61
4,BD-S010,126.94,0
5,BD-S007,126.94,1.14
6,BD-S010,128.08,0
7,BD-S008,128.08,1.77
8,BD-S010,129.85,0
9,BD-S013,129.85,1.77
10,BD-S015,131.62,0
11,BD-S020,132.71,2.66
0206212680-0-0,,2020-06-22T11:59:59
0,BD-S005,78.34,1.33
1,BD-S006,81.27,30
2,BD-S012,115.47,1
3,BD-S016,116.47,0.61
4,BD-S010,117.08,0
5,BD-S007,117.5,1.14
6,BD-S010,118.64,0
7,BD-S008,123.84,1.77
8,BD-S010,125.61,0
9,BD-S013,125.61,1.77
10,BD-S015,127.38,0
11,BD-S020,130.05,2.66
0206222680-0-0,,2020-06-22T11:59:59
0,BD-S005,77.01,1.33
1,BD-S006,81.27,30
2,BD-S012,114.47,1
3,BD-S016,115.47,0.61
4,BD-S010,116.08,0
5,BD-S007,116.36,1.14
6,BD-S010,117.5,0
7,BD-S008,122.07,1.77
8,BD-S010,123.84,0
9,BD-S013,123.84,1.77
10,BD-S015,125.61,0
11,BD-S020,127.39,2.66
0206232680-0-0,,2020-06-22T11:59:59
0,BD-S005,75.68,1.33
1,BD-S006,81.27,30
2,BD-S012,113.47,1
3,BD-S016,114.47,0.61
4,BD-S010,115.08,0
5,BD-S007,115.22,1.14
6,BD-S010,116.36,0
7,BD-S008,120.3,1.77
8,BD-S010,122.07,0
9,BD-S013,122.07,1.77
10,BD-S015,123.84,0
11,BD-S020,124.73,2.66
0206252680-0-0,,2020-06-22T11:59:59
0,BD-S005,72.46,1.33
1,BD-S006,80.47,30
2,BD-S012,112.47,1
3,BD-S016,113.47,0.61
4,BD-S010,114.08,0
5,BD-S007,114.08,1.14
6,BD-S010,115.22,0
7,BD-S008,118.53,1.77
8,BD-S010,120.3,0
9,BD-S013,120.3,1.77
10,BD-S015,122.07,0
11,BD-S020,122.07,2.66
0206272680-0-0,,2020-06-20T11:59:59
0,BD-S005,71.13,1.33
1,BD-S006,80.47,30
2,BD-S012,111.47,1
3,BD-S016,112.47,0.61
4,BD-S025,113.08,0
5,BD-S008,114.99,1.77
6,BD-S010,116.76,0
7,BD-S008,116.76,1.77
8,BD-S019,118.53,2.66
0206282680-0-0,,2020-06-24T11:59:59
0,BD-S005,69.8,1.33
1,BD-S006,80.47,30
2,BD-S012,110.47,1
3,BD-S016,111.47,0.61
4,BD-S010,112.08,0
5,BD-S007,112.08,1.14
6,BD-S010,113.22,0
7,BD-S008,113.22,1.77
8,BD-S010,114.99,0
9,BD-S013,114.99,1.77
10,BD-S020,116.76,2.66
0206642600-0-0,,2020-06-14T11:59:59
0,BD-S005,31.4,1.33
1,BD-S006,36.4,30
2,BD-S026,66.4,0
3,BD-S005,66.4,1.33
4,BD-S006,67.73,30
5,BD-S012,97.73,1
6,BD-S016,98.99,2.66
0206652600-0-0,,2020-06-14T11:59:59
0,BD-S005,29.27,1.33
1,BD-S006,34,30
2,BD-S026,64,0
3,BD-S005,64,1.33
4,BD-S006,65.33,30
5,BD-S012,95.33,1
6,BD-S016,96.33,2.66
0206902680-0-0,,2020-06-24T11:59:59
0,BD-S005,50.65,1.33
1,BD-S006,66.4,30
2,BD-S012,104.73,1
3,BD-S016,107.58,0.61
4,BD-S010,108.19,0
5,BD-S007,108.19,1.14
6,BD-S010,109.33,0
7,BD-S008,109.33,1.77
8,BD-S010,111.1,0
9,BD-S013,111.1,1.77
10,BD-S015,112.87,0
11,BD-S019,112.87,2.66
0304001100-0-0,,2020-06-11T11:59:59
0,BD-S005,4,0.8
1,BD-S007,7.91,1.14
2,BD-S016,10.57,2.66
0304021100-Fe-0-0,,2020-06-20T11:59:59
0,BD-S005,107.27,0.8
1,BD-S007,145.66,1.14
2,BD-S016,166.2,2.66
0304031100-0-0,,2020-06-11T11:59:59
0,BD-S005,2.4,0.8
1,BD-S007,6.77,1.14
2,BD-S016,7.91,2.66
0304041100-0-0,,2020-06-20T11:59:59
0,BD-S005,62.38,0.8
1,BD-S007,73.74,1.14
2,BD-S005,74.88,0.8
3,BD-S007,75.68,1.14
4,BD-S016,93.08,2.66
0304051100-C-0-0,,2020-06-20T11:59:59
0,BD-S005,8,0.8
1,BD-S007,11.33,1.14
2,BD-S005,12.47,0.8
3,BD-S007,13.27,1.14
4,BD-S016,15.06,2.66
0304061100-C-0-0,,2020-06-20T11:59:59
0,BD-S005,106.47,0.8
1,BD-S007,144.52,1.14
2,BD-S016,163.54,2.66
0601681100-Fe-0-0,,2020-06-15T11:59:59
0,BD-S005,99.85,0.8
1,BD-S007,101.33,1.14
2,BD-S005,102.47,0.8
3,BD-S012,108.73,1
4,BD-S016,122.4,2.66
0601711100-A-0-0,,2020-06-15T11:59:59
0,BD-S005,99.05,0.8
1,BD-S007,100.19,1.14
2,BD-S005,101.33,0.8
3,BD-S012,107.73,1
4,BD-S016,119.74,2.66
0601811220-0-0,,2020-06-18T11:59:59
0,BD-S005,97.44,0.8
1,BD-S006,125.33,30
2,BD-S012,158.13,1
3,BD-S025,159.13,0
4,BD-S007,159.13,1.14
5,BD-S016,160.27,0.61
6,BD-S011,160.88,0
7,BD-S012,160.88,1
8,BD-S020,161.88,2.66
0702751100-2-0,,2020-06-22T11:59:59
0703011100-0-0,,2020-06-20T11:59:59
0,BD-S005,96.64,0.8
1,BD-S006,125.33,30
2,BD-S012,155.33,1
3,BD-S005,156.33,0.8
4,BD-S012,157.13,1
5,BD-S016,158.13,0.61
6,BD-S018,158.74,0
0703021100-0-0,,2020-06-18T11:59:59
0,BD-S005,105.67,0.8
1,BD-S007,143.38,1.14
2,BD-S016,160.88,2.66
0703031100-0-0,,2020-06-17T11:59:59
0,BD-S005,104.87,0.8
1,BD-S007,142.24,1.14
2,BD-S016,155.19,2.66
0703041100-Fe-0-1,,2020-06-20T11:59:59
0703041100-Fe-0-2,,2020-06-20T11:59:59
0703061100-0-0,,2020-06-12T11:59:59
0,BD-S005,3.2,0.8
1,BD-S006,4,30
2,BD-S012,34,1
3,BD-S016,35,2.66
0703071100-0-0,,2020-06-14T11:59:59
0,BD-S005,26.07,0.8
1,BD-S007,35.91,1.14
2,BD-S005,37.05,0.8
3,BD-S007,39.41,1.14
4,BD-S016,40.55,2.66
0703081100-0-0,,2020-06-26T11:59:59
0,BD-S005,95.84,0.8
1,BD-S006,111.27,30
2,BD-S012,148.87,1
3,BD-S016,149.87,2.66
0703101100-0-0,,2020-06-20T11:59:59
0,BD-S005,30.6,0.8
1,BD-S006,34.18,30
2,BD-S012,68,1
3,BD-S005,69,0.8
4,BD-S012,69.8,1
5,BD-S016,71.32,0.61
6,BD-S018,71.93,0
0703111100-0-0,,2020-06-20T11:59:59
0,BD-S005,95.04,0.8
1,BD-S006,111.27,30
2,BD-S012,146.07,1
3,BD-S005,147.07,0.8
4,BD-S012,147.87,1
5,BD-S016,148.87,0.61
6,BD-S018,149.48,0
0703121100-0-0,,2020-06-20T11:59:59
0,BD-S005,94.24,0.8
1,BD-S006,110.47,30
2,BD-S012,143.27,1
3,BD-S005,144.27,0.8
4,BD-S012,145.07,1
5,BD-S016,146.07,0.61
6,BD-S018,146.68,0
0703131100-0-0,,2020-06-20T11:59:59
0,BD-S005,93.44,0.8
1,BD-S006,110.47,30
2,BD-S012,140.47,1
3,BD-S005,141.47,0.8
4,BD-S012,142.27,1
5,BD-S016,143.27,0.61
6,BD-S018,143.88,0
