0117981020-0-0,,2020-06-13T11:59:59,,,,,,,,,,
4,BD-S012,93.8,1,,,,,,,,,
5,BD-S016,94.8,0.61,,,,,,,,,
6,BD-S018,95.41,0,,,,,,,,,
0119201020-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0,BD-S005,46.4,0.8,,,,,,,,,
1,BD-S006,50,30,,,,,,,,,
2,BD-S012,94.8,1,,,,,,,,,
3,BD-S025,95.8,0,,,,,,,,,
4,BD-S012,95.8,1,,,,,,,,,
5,BD-S016,96.8,2.66,,,,,,,,,
0119211020-D-0-0,,2020-06-23T11:59:59,,,,,,,,,,
0,BD-S005,47.2,0.8,,,,,,,,,
1,BD-S006,50,30,,,,,,,,,
2,BD-S012,96.8,1,,,,,,,,,
3,BD-S025,97.8,0,,,,,,,,,
4,BD-S012,97.8,1,,,,,,,,,
5,BD-S016,99.46,2.66,,,,,,,,,
0119221020-D-0-0,,2020-06-23T11:59:59,,,,,,,,,,
0,BD-S005,48,0.8,,,,,,,,,
1,BD-S006,50.8,30,,,,,,,,,
2,BD-S012,98.8,1,,,,,,,,,
3,BD-S025,99.8,0,,,,,,,,,
4,BD-S012,99.8,1,,,,,,,,,
5,BD-S016,102.12,2.66,,,,,,,,,
0119231020-D-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0119251020-P-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0,BD-S005,48.8,0.8,,,,,,,,,
1,BD-S007,61.06,1.14,,,,,,,,,
2,BD-S016,63.78,0.61,,,,,,,,,
3,BD-S011,64.39,0,,,,,,,,,
4,BD-S013,64.39,1.77,,,,,,,,,
5,BD-S020,83.72,2.66,,,,,,,,,
0119261020-0-0,,2020-06-24T11:59:59,,,,,,,,,,
0,BD-S005,49.6,0.8,,,,,,,,,
1,BD-S007,62.2,1.14,,,,,,,,,
2,BD-S016,64.39,0.61,,,,,,,,,
3,BD-S011,65,0,,,,,,,,,
4,BD-S008,77.15,1.77,,,,,,,,,
5,BD-S011,78.92,0,,,,,,,,,
6,BD-S013,78.92,1.77,,,,,,,,,
7,BD-S020,86.38,2.66,,,,,,,,,
0119271020-0-0,,2020-06-21T11:59:59,,,,,,,,,,
0,BD-S005,50.4,0.8,,,,,,,,,
1,BD-S008,78.92,1.77,,,,,,,,,
2,BD-S016,81.41,0.61,,,,,,,,,
3,BD-S011,82.02,0,,,,,,,,,
4,BD-S008,82.02,1.77,,,,,,,,,
5,BD-S019,83.79,2.66,,,,,,,,,
0119281020-0-0,,2020-06-24T11:59:59,,,,,,,,,,
0,BD-S005,51.2,0.8,,,,,,,,,
1,BD-S007,63.34,1.14,,,,,,,,,
2,BD-S016,65,0.61,,,,,,,,,
3,BD-S011,65.61,0,,,,,,,,,
4,BD-S008,83.79,1.77,,,,,,,,,
5,BD-S019,86.45,2.66,,,,,,,,,
0119291020-0-0,,2020-06-26T11:59:59,,,,,,,,,,
0,BD-S005,52,0.8,,,,,,,,,
1,BD-S007,64.48,1.14,,,,,,,,,
2,BD-S016,65.62,0.61,,,,,,,,,
3,BD-S011,66.23,0,,,,,,,,,
4,BD-S008,85.56,1.77,,,,,,,,,
5,BD-S019,89.11,2.66,,,,,,,,,
0119301020-0-0,,2020-06-15T11:59:59,,,,,,,,,,
0,BD-S005,52.8,0.8,,,,,,,,,
1,BD-S007,65.62,1.14,,,,,,,,,
2,BD-S016,66.76,0.61,,,,,,,,,
3,BD-S011,67.37,0,,,,,,,,,
4,BD-S007,67.37,1.14,,,,,,,,,
5,BD-S020,96.87,2.66,,,,,,,,,
0119311020-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0,BD-S005,53.6,0.8,,,,,,,,,
1,BD-S007,68.51,1.14,,,,,,,,,
2,BD-S016,69.65,0.61,,,,,,,,,
3,BD-S010,70.26,0,,,,,,,,,
4,BD-S007,70.26,1.14,,,,,,,,,
5,BD-S020,99.53,2.66,,,,,,,,,
0119321020-0-0,,2020-06-16T11:59:59,,,,,,,,,,
0,BD-S005,54.4,0.8,,,,,,,,,
1,BD-S007,71.4,1.14,,,,,,,,,
2,BD-S016,72.54,0.61,,,,,,,,,
