BD-S002
BD-S003
BD-S004
4,0118881020-0-0,reentry=1,2020-06-10T04:13:12,2020-06-10T05:21:35.999999,copper
5,0118801020-0-0,reentry=1,2020-06-10T05:21:36,2020-06-10T06:29:59.999999,copper
6,0118811020-0-0,reentry=1,2020-06-10T06:30:00,2020-06-10T07:38:23.999999,copper
7,0118961020-0-0,reentry=1,2020-06-10T07:43:48,2020-06-10T08:52:11.999999,copper
8,0118801020-0-0,reentry=2,2020-06-10T09:05:24,2020-06-10T10:13:47.999999,copper
9,0118931020-0-0,reentry=1,2020-06-10T10:13:48,2020-06-10T11:22:11.999999,copper
10,0703021100-0-0,reentry=1,2020-06-10T11:22:12,2020-06-10T12:30:35.999999,copper
11,0118511020-P-0-0,reentry=1,2020-06-10T12:30:36,2020-06-10T13:38:59.999999,copper
12,0118771020-0-0,reentry=1,2020-06-10T13:39:00,2020-06-10T14:47:23.999999,copper
13,0119321020-0-0,reentry=1,2020-06-10T14:47:24,2020-06-10T15:55:47.999999,copper
14,0118791020-0-0,reentry=1,2020-06-10T15:55:48,2020-06-10T17:04:11.999999,copper
15,0118781020-0-0,reentry=1,2020-06-10T17:04:12,2020-06-10T18:12:35.999999,copper
16,0118771020-0-0,reentry=2,2020-06-10T18:26:24,2020-06-10T19:34:47.999999,copper
17,0119321020-0-0,reentry=2,2020-06-10T19:34:48,2020-06-10T20:43:11.999999,copper
18,0118791020-0-0,reentry=2,2020-06-10T20:43:12,2020-06-10T21:51:35.999999,copper
19,0118781020-0-0,reentry=2,2020-06-10T21:51:36,2020-06-10T22:59:59.999999,copper
20,0204582740-0-0,reentry=1,2020-06-11T04:00:00,2020-06-11T05:08:23.999999,brass
21,0601681100-Fe-0-0,reentry=1,2020-06-11T10:08:24,2020-06-11T11:16:47.999999,copper
22,0601711100-A-0-0,reentry=1,2020-06-11T11:16:48,2020-06-11T12:25:11.999999,copper
23,0118821020-0-0,reentry=1,2020-06-11T12:25:12,2020-06-11T13:33:35.999999,copper
24,0119301020-0-0,reentry=1,2020-06-11T13:33:36,2020-06-11T14:41:59.999999,copper
25,0118501020-P-0-0,reentry=1,2020-06-11T14:42:00,2020-06-11T15:50:23.999999,copper
26,0118471020-P-0-0,reentry=1,2020-06-11T15:50:24,2020-06-11T16:58:47.999999,copper
27,0118461020-P-0-0,reentry=1,2020-06-11T16:58:48,2020-06-11T18:07:11.999999,copper
28,0118451020-P-0-0,reentry=1,2020-06-11T18:07:12,2020-06-11T19:15:35.999999,copper
29,0119301020-0-0,reentry=2,2020-06-11T20:04:48,2020-06-11T21:13:11.999999,copper
30,0118441020-P-0-0,reentry=1,2020-06-11T21:13:12,2020-06-11T22:21:35.999999,copper
31,0118431020-P-0-0,reentry=1,2020-06-11T22:21:36,2020-06-11T23:29:59.999999,copper
32,0118411020-P-0-0,reentry=1,2020-06-11T23:30:00,2020-06-12T00:38:23.999999,copper
33,0118401020-P-0-0,reentry=1,2020-06-12T00:38:24,2020-06-12T01:46:47.999999,copper
34,0703071100-0-0,reentry=1,2020-06-12T01:46:48,2020-06-12T02:55:11.999999,copper
35,0703071100-0-0,reentry=2,2020-06-12T03:43:12,2020-06-12T04:51:35.999999,copper
36,0117981020-0-0,reentry=1,2020-06-12T04:51:36,2020-06-12T05:59:59.999999,copper
37,0118761020-0-0,reentry=1,2020-06-12T06:00:00,2020-06-12T07:08:23.999999,copper
38,0118871020-0-0,reentry=1,2020-06-12T07:08:24,2020-06-12T08:16:47.999999,copper
39,0118761020-0-0,reentry=2,2020-06-12T08:48:36,2020-06-12T09:56:59.999999,copper
40,0119261020-0-0,reentry=1,2020-06-12T09:57:00,2020-06-12T11:05:23.999999,copper
41,0118981020-C-0-0,reentry=1,2020-06-12T11:05:24,2020-06-12T12:13:47.999999,copper
42,0118911020-0-0,reentry=1,2020-06-12T12:13:48,2020-06-12T13:22:11.999999,copper
43,0118951020-0-0,reentry=1,2020-06-12T13:22:12,2020-06-12T14:30:35.999999,copper
44,0118971020-0-0,reentry=1,2020-06-12T14:30:36,2020-06-12T15:38:59.999999,copper
45,0118991020-A-0-0,reentry=1,2020-06-12T15:39:00,2020-06-12T16:47:23.999999,copper
