0117981020-0-0,,2020-06-13T11:59:59
3,BD-S016,2020-06-10T08:28:48,2020-06-10T09:05:23.999999
4,BD-S010,2020-06-10T09:05:24,2020-06-10T09:05:23.999999
5,BD-S007,2020-06-10T09:05:24,2020-06-10T10:13:47.999999
6,BD-S020,2020-06-10T12:54:36,2020-06-10T15:34:11.999999
0118811020-0-0,,2020-06-23T11:59:59
0,BD-S005,2020-06-10T05:19:48,2020-06-10T06:07:47.999999
1,BD-S007,2020-06-10T06:30:00,2020-06-10T07:38:23.999999
2,BD-S016,2020-06-10T09:05:24,2020-06-10T09:41:59.999999
3,BD-S011,2020-06-10T09:42:00,2020-06-10T09:41:59.999999
4,BD-S008,2020-06-10T10:15:00,2020-06-10T12:01:11.999999
5,BD-S011,2020-06-10T12:01:12,2020-06-10T12:01:11.999999
6,BD-S013,2020-06-10T12:01:12,2020-06-10T13:47:23.999999
7,BD-S020,2020-06-10T15:34:12,2020-06-10T18:13:47.999999
0118821020-0-0,,2020-06-23T11:59:59
0,BD-S005,2020-06-10T21:35:24,2020-06-10T22:23:23.999999
1,BD-S007,2020-06-11T12:25:12,2020-06-11T13:33:35.999999
2,BD-S016,2020-06-11T18:51:36,2020-06-11T19:28:11.999999
3,BD-S011,2020-06-11T19:28:12,2020-06-11T19:28:11.999999
4,BD-S008,2020-06-11T19:28:12,2020-06-11T21:14:23.999999
5,BD-S011,2020-06-11T21:14:24,2020-06-11T21:14:23.999999
6,BD-S013,2020-06-11T21:14:24,2020-06-11T23:00:35.999999
7,BD-S020,2020-06-11T23:00:36,2020-06-12T01:40:11.999999
0118831020-0-0,,2020-06-21T11:59:59
0,BD-S005,2020-06-13T11:21:00,2020-06-13T12:08:59.999999
1,BD-S007,2020-06-13T21:07:12,2020-06-13T22:15:35.999999
2,BD-S016,2020-06-14T11:27:36,2020-06-14T12:04:11.999999
3,BD-S011,2020-06-14T12:04:12,2020-06-14T12:04:11.999999
4,BD-S012,2020-06-14T12:04:12,2020-06-14T12:04:11.999999
5,BD-S020,2020-06-14T15:45:00,2020-06-14T18:24:35.999999
0118841020-0-0,,2020-06-17T11:59:59
0,BD-S005,2020-06-10T17:03:36,2020-06-10T17:51:35.999999
1,BD-S006,2020-06-11T11:51:36,2020-06-12T17:51:35.999999
2,BD-S012,2020-06-12T17:51:36,2020-06-12T17:51:35.999999
3,BD-S016,2020-06-12T20:31:12,2020-06-12T21:07:47.999999
4,BD-S025,2020-06-12T21:07:48,2020-06-12T21:07:47.999999
5,BD-S007,2020-06-12T21:07:48,2020-06-12T22:16:11.999999
6,BD-S020,2020-06-12T22:16:12,2020-06-13T00:55:47.999999
0118851020-0-0,,2020-06-17T11:59:59
0,BD-S005,2020-06-11T20:23:24,2020-06-11T21:11:23.999999
1,BD-S006,2020-06-11T21:27:36,2020-06-13T03:27:35.999999
2,BD-S012,2020-06-13T03:27:36,2020-06-13T03:27:35.999999
3,BD-S016,2020-06-13T10:15:00,2020-06-13T10:51:35.999999
4,BD-S025,2020-06-13T10:51:36,2020-06-13T10:51:35.999999
5,BD-S007,2020-06-13T10:51:36,2020-06-13T11:59:59.999999
6,BD-S020,2020-06-13T12:00:00,2020-06-13T14:39:35.999999
0118861020-0-0,,2020-06-17T11:59:59
0,BD-S005,2020-06-13T22:48:00,2020-06-13T23:35:59.999999
1,BD-S007,2020-06-13T23:36:00,2020-06-14T00:44:23.999999
2,BD-S016,2020-06-14T12:04:12,2020-06-14T12:40:47.999999
