0117981020-0-0,,2020-06-13T11:59:59
5,BD-S020,113.88,2.66
0119321020-0-0,,2020-06-16T11:59:59
0,BD-S005,32.34,0.8
1,BD-S007,49.64,1.14
2,BD-S016,50.78,0.61
3,BD-S010,51.39,0
4,BD-S007,51.39,1.14
5,BD-S020,52.53,2.66
0119331020-0-0,,2020-06-07T11:59:59
0,BD-S004,0,0.5
1,BD-S005,0.8,0.8
2,BD-S007,3.08,1.14
3,BD-S016,4.22,0.61
4,BD-S010,4.83,0
5,BD-S007,4.83,1.14
6,BD-S010,5.97,0
7,BD-S013,5.97,1.77
8,BD-S020,7.74,2.66
0204582740-0-0,,2020-06-15T11:59:59
0,BD-S005,23.34,1.33
1,BD-S007,39.47,1.14
2,BD-S005,43.79,1.33
3,BD-S012,45.12,1
4,BD-S016,46.12,0.61
5,BD-S018,46.73,0
0205772740-0-0,,2020-06-22T11:59:59
0,BD-S005,68.05,1.33
1,BD-S006,80.92,30
2,BD-S012,123.54,1
3,BD-S016,129.47,0.61
4,BD-S010,130.08,0
5,BD-S008,130.08,1.77
6,BD-S010,131.85,0
7,BD-S008,131.85,1.77
8,BD-S009,133.62,0
9,BD-S008,133.62,1.77
10,BD-S019,135.39,2.66
0205782740-0-0,,2020-06-22T11:59:59
0,BD-S005,70.89,1.33
1,BD-S006,80.92,30
2,BD-S012,124.54,1
3,BD-S016,130.08,0.61
4,BD-S010,130.69,0
5,BD-S008,135.39,1.77
6,BD-S010,137.16,0
7,BD-S008,137.16,1.77
8,BD-S009,138.93,0
9,BD-S008,138.93,1.77
10,BD-S019,140.7,2.66
0205792740-0-0,,2020-06-24T11:59:59
0,BD-S005,96.77,1.33
1,BD-S006,108.79,30
2,BD-S012,146.14,1
3,BD-S016,149.01,0.61
4,BD-S025,149.62,0
5,BD-S007,149.62,1.14
6,BD-S010,150.76,0
7,BD-S008,163.09,1.77
8,BD-S009,164.86,0
9,BD-S013,164.86,1.77
10,BD-S015,166.63,0
11,BD-S019,166.63,2.66
0205802600-0-1,,2020-06-30T11:59:59
0,BD-S005,112.94,1.33
1,BD-S006,130.54,30
2,BD-S012,161.54,1
3,BD-S016,167.47,0.61
4,BD-S010,168.08,0
5,BD-S008,193.17,1.77
6,BD-S010,194.94,0
7,BD-S013,194.94,1.77
8,BD-S020,196.71,2.66
0205802600-0-2,,2020-06-25T11:59:59
0206192680-0-0,,2020-06-22T11:59:59
0,BD-S005,80.6,1.33
1,BD-S006,100.78,30
2,BD-S012,135.54,1
3,BD-S016,136.54,0.61
4,BD-S025,137.15,0
5,BD-S007,137.85,1.14
6,BD-S010,138.99,0
7,BD-S013,138.99,1.77
8,BD-S020,140.76,2.66
0206202680-0-0,,2020-06-22T11:59:59
0,BD-S005,72.22,1.33
1,BD-S006,100.54,30
2,BD-S012,130.54,1
3,BD-S016,131.54,0.61
4,BD-S010,132.15,0
5,BD-S007,132.15,1.14
6,BD-S010,133.29,0
7,BD-S008,140.7,1.77
8,BD-S010,142.47,0
9,BD-S013,142.47,1.77
10,BD-S015,144.24,0
11,BD-S020,144.24,2.66
0206212680-0-0,,2020-06-22T11:59:59
0,BD-S005,73.55,1.33
1,BD-S006,100.54,30
2,BD-S012,131.54,1
3,BD-S016,132.54,0.61
4,BD-S010,133.15,0
5,BD-S007,133.29,1.14
6,BD-S010,134.43,0
7,BD-S008,142.47,1.77
8,BD-S010,144.24,0
9,BD-S013,144.24,1.77
10,BD-S015,146.01,0
11,BD-S020,146.9,2.66
0206222680-0-0,,2020-06-22T11:59:59
0,BD-S005,76.61,1.33
1,BD-S006,100.54,30
2,BD-S012,132.54,1
3,BD-S016,133.54,0.61
4,BD-S010,134.15,0
5,BD-S007,134.43,1.14
6,BD-S010,135.57,0
7,BD-S008,144.24,1.77
8,BD-S010,146.01,0
9,BD-S013,146.01,1.77
10,BD-S015,147.78,0
11,BD-S020,149.56,2.66
0206232680-0-0,,2020-06-22T11:59:59
0,BD-S005,79.27,1.33
1,BD-S006,100.78,30
2,BD-S012,134.54,1
3,BD-S016,135.54,0.61
4,BD-S010,136.15,0
5,BD-S007,136.71,1.14
6,BD-S010,137.85,0
7,BD-S008,147.78,1.77
8,BD-S010,149.55,0
9,BD-S013,149.55,1.77
10,BD-S015,151.32,0
11,BD-S020,154.88,2.66
0206252680-0-0,,2020-06-22T11:59:59
0,BD-S005,77.94,1.33
1,BD-S006,100.78,30
2,BD-S012,133.54,1
3,BD-S016,134.54,0.61
4,BD-S010,135.15,0
5,BD-S007,135.57,1.14
6,BD-S010,136.71,0
7,BD-S008,146.01,1.77
8,BD-S010,147.78,0
9,BD-S013,147.78,1.77
10,BD-S015,149.55,0
11,BD-S020,152.22,2.66
0206272680-0-0,,2020-06-20T11:59:59
0,BD-S005,50.72,1.33
1,BD-S006,70.54,30
2,BD-S012,102.54,1
3,BD-S016,103.54,0.61
4,BD-S025,104.15,0
5,BD-S008,104.15,1.77
6,BD-S010,105.92,0
7,BD-S008,105.92,1.77
8,BD-S019,107.69,2.66
0206282680-0-0,,2020-06-24T11:59:59
0,BD-S005,99.43,1.33
1,BD-S006,110.92,30
2,BD-S012,148.14,1
3,BD-S016,150.23,0.61
4,BD-S010,150.84,0
5,BD-S007,151.9,1.14
6,BD-S010,153.04,0
7,BD-S008,166.63,1.77
8,BD-S010,168.4,0
9,BD-S013,168.4,1.77
10,BD-S020,170.17,2.66
0206642600-0-0,,2020-06-14T11:59:59
0,BD-S005,4.8,1.33
1,BD-S006,11.13,30
2,BD-S026,41.13,0
3,BD-S005,41.13,1.33
4,BD-S006,42.46,30
5,BD-S012,72.46,1
6,BD-S016,73.46,2.66
0206652600-0-0,,2020-06-14T11:59:59
0,BD-S005,6.13,1.33
1,BD-S006,11.13,30
2,BD-S026,41.13,0
3,BD-S005,42.46,1.33
4,BD-S006,48.79,30
5,BD-S012,78.79,1
6,BD-S016,79.79,2.66
0206902680-0-0,,2020-06-24T11:59:59
0,BD-S005,98.1,1.33
1,BD-S006,110.92,30
2,BD-S012,147.14,1
3,BD-S016,149.62,0.61
4,BD-S010,150.23,0
5,BD-S007,150.76,1.14
6,BD-S010,151.9,0
7,BD-S008,164.86,1.77
8,BD-S010,166.63,0
9,BD-S013,166.63,1.77
10,BD-S015,168.4,0
11,BD-S019,169.29,2.66
0304001100-0-0,,2020-06-11T11:59:59
0,BD-S005,4,0.8
1,BD-S007,7.11,1.14
2,BD-S016,9.77,2.66
0304021100-Fe-0-0,,2020-06-20T11:59:59
0,BD-S005,66.45,0.8
1,BD-S007,100.87,1.14
2,BD-S016,124.15,2.66
0304031100-0-0,,2020-06-11T11:59:59
0,BD-S005,3.2,0.8
1,BD-S007,5.97,1.14
2,BD-S016,7.11,2.66
0304041100-0-0,,2020-06-20T11:59:59
0,BD-S005,62.45,0.8
1,BD-S007,93.23,1.14
2,BD-S005,94.37,0.8
3,BD-S007,95.17,1.14
4,BD-S016,99.55,2.66
0304051100-C-0-0,,2020-06-20T11:59:59
0,BD-S005,61.65,0.8
1,BD-S007,90.15,1.14
2,BD-S005,91.29,0.8
3,BD-S007,92.09,1.14
4,BD-S016,96.89,2.66
0304061100-C-0-0,,2020-06-20T11:59:59
0,BD-S005,67.25,0.8
1,BD-S007,102.01,1.14
2,BD-S016,126.81,2.66
0601681100-Fe-0-0,,2020-06-15T11:59:59
0,BD-S005,21.74,0.8
1,BD-S007,25.6,1.14
2,BD-S005,26.74,0.8
3,BD-S012,27.54,1
4,BD-S016,30.06,2.66
0601711100-A-0-0,,2020-06-15T11:59:59
0,BD-S005,20.94,0.8
1,BD-S007,24.46,1.14
2,BD-S005,25.6,0.8
3,BD-S012,26.4,1
4,BD-S016,27.4,2.66
0601811220-0-0,,2020-06-18T11:59:59
0,BD-S005,33.94,0.8
1,BD-S006,48.79,30
2,BD-S012,81.79,1
3,BD-S025,82.79,0
4,BD-S007,82.87,1.14
5,BD-S016,84.01,0.61
6,BD-S011,84.62,0
7,BD-S012,84.62,1
8,BD-S020,85.62,2.66
0702751100-2-0,,2020-06-22T11:59:59
0703011100-0-0,,2020-06-20T11:59:59
0,BD-S005,56.05,0.8
1,BD-S006,78.79,30
2,BD-S012,116.74,1
3,BD-S005,117.74,0.8
4,BD-S012,118.54,1
5,BD-S016,119.54,0.61
6,BD-S018,120.15,0
0703021100-0-0,,2020-06-18T11:59:59
0,BD-S005,49.92,0.8
1,BD-S007,65.53,1.14
2,BD-S016,67.05,2.66
0703031100-0-0,,2020-06-17T11:59:59
0,BD-S005,39.54,0.8
1,BD-S007,59.98,1.14
2,BD-S016,61.12,2.66
0703041100-Fe-0-1,,2020-06-20T11:59:59
0703041100-Fe-0-2,,2020-06-20T11:59:59
0703061100-0-0,,2020-06-12T11:59:59
0,BD-S005,2.4,0.8
1,BD-S006,7.4,30
2,BD-S012,38.4,1
3,BD-S016,39.4,2.66
0703071100-0-0,,2020-06-14T11:59:59
0,BD-S005,9.06,0.8
1,BD-S007,10.2,1.14
2,BD-S005,11.34,0.8
3,BD-S007,12.14,1.14
4,BD-S016,13.28,2.66
0703081100-0-0,,2020-06-26T11:59:59
0,BD-S005,107.34,0.8
1,BD-S006,130.54,30
2,BD-S012,160.54,1
3,BD-S016,161.54,2.66
0703101100-0-0,,2020-06-20T11:59:59
0,BD-S005,53.65,0.8
1,BD-S006,70.78,30
2,BD-S012,108.34,1
3,BD-S005,109.34,0.8
4,BD-S012,110.14,1
5,BD-S016,111.14,0.61
6,BD-S018,111.75,0
0703111100-0-0,,2020-06-20T11:59:59
0,BD-S005,52.85,0.8
1,BD-S006,70.78,30
2,BD-S012,105.54,1
3,BD-S005,106.54,0.8
4,BD-S012,107.34,1
5,BD-S016,108.34,0.61
6,BD-S018,108.95,0
0703121100-0-0,,2020-06-20T11:59:59
0,BD-S005,54.45,0.8
1,BD-S006,72.46,30
2,BD-S012,111.14,1
3,BD-S005,112.14,0.8
4,BD-S012,112.94,1
5,BD-S016,113.94,0.61
6,BD-S018,114.55,0
0703131100-0-0,,2020-06-20T11:59:59
0,BD-S005,55.25,0.8
1,BD-S006,72.46,30
2,BD-S012,113.94,1
3,BD-S005,114.94,0.8
4,BD-S012,115.74,1
5,BD-S016,116.74,0.61
6,BD-S018,117.35,0
0703141100-0-0,,2020-06-23T11:59:59
0,BD-S005,86.73,0.8
1,BD-S006,108.79,30
2,BD-S012,143.34,1
3,BD-S005,144.34,0.8
4,BD-S012,145.14,1
5,BD-S016,148.4,0.61
6,BD-S018,149.01,0
0703151100-0-0,,2020-06-23T11:59:59
0,BD-S005,85.93,0.8
1,BD-S006,102.46,30
2,BD-S012,140.54,1
3,BD-S005,141.54,0.8
4,BD-S012,142.34,1
5,BD-S016,147.79,0.61
6,BD-S018,148.4,0
0703161100-0-0,,2020-06-20T11:59:59
0,BD-S005,60.85,0.8
1,BD-S007,74.67,1.14
2,BD-S005,75.81,0.8
3,BD-S007,89.01,1.14
4,BD-S016,94.23,2.66
0703171100-0-0,,2020-06-20T11:59:59
0,BD-S005,60.05,0.8
1,BD-S007,68.95,1.14
2,BD-S005,70.09,0.8
3,BD-S007,73.53,1.14
4,BD-S016,84.62,2.66
0703181100-0-0,,2020-06-25T11:59:59
0,BD-S005,110.14,0.8
1,BD-S007,159.18,1.14
2,BD-S005,160.32,0.8
3,BD-S007,161.12,1.14
4,BD-S016,164.2,2.66
9800257701-0-0,,2020-06-10T11:59:59
0,BD-S005,1.6,0.8
1,BD-S006,7.4,30
2,BD-S012,37.4,1
3,BD-S016,38.4,0.61
4,BD-S025,39.01,0
5,BD-S008,39.01,0
6,BD-S009,39.01,0
