0117981020-0-0,,2020-06-13T11:59:59
3,BD-S011,22.08,0
4,BD-S008,26.72,1.77
5,BD-S020,28.49,2.66
0118941020-0-0,,2020-06-22T11:59:59
0,BD-S005,29.86,0.8
1,BD-S007,33.84,1.14
2,BD-S016,36.5,0.61
3,BD-S011,37.11,0
4,BD-S008,79.59,1.77
5,BD-S020,81.36,2.66
0118951020-0-0,,2020-06-22T11:59:59
0,BD-S005,15.73,0.8
1,BD-S007,16.87,1.14
2,BD-S016,18.01,0.61
3,BD-S011,18.62,0
4,BD-S008,19.64,1.77
5,BD-S020,24.96,2.66
0118961020-0-0,,2020-06-22T11:59:59
0,BD-S005,21.06,0.8
1,BD-S007,21.86,1.14
2,BD-S016,23,0.61
3,BD-S011,23.61,0
4,BD-S008,44.05,1.77
5,BD-S020,45.82,2.66
0118971020-0-0,,2020-06-22T11:59:59
0,BD-S005,24.26,0.8
1,BD-S007,25.06,1.14
2,BD-S016,27.33,0.61
3,BD-S011,27.94,0
4,BD-S008,45.82,1.77
5,BD-S020,48.48,2.66
0118981020-C-0-0,,2020-06-22T11:59:59
0,BD-S005,100.83,0.8
1,BD-S007,101.97,1.14
2,BD-S016,132.39,0.61
3,BD-S011,133,0
4,BD-S008,160.3,1.77
5,BD-S019,162.07,0
6,BD-S021,162.07,0
0118991020-A-0-0,,2020-06-22T11:59:59
0,BD-S005,100.03,0.8
1,BD-S007,100.83,1.14
2,BD-S016,127.42,0.61
3,BD-S011,128.03,0
4,BD-S008,158.53,1.77
5,BD-S019,160.3,0
6,BD-S021,160.3,0
0119001020-0-0,,2020-06-17T11:59:59
0,BD-S005,39.26,0.8
1,BD-S007,42.77,1.14
2,BD-S016,43.91,0.61
3,BD-S011,44.52,0
4,BD-S008,85.51,1.77
5,BD-S019,88.17,2.66
0119011020-0-0,,2020-06-25T11:59:59
0,BD-S005,6.93,0.8
1,BD-S008,7.73,1.77
2,BD-S016,9.5,0.61
3,BD-S011,10.11,0
4,BD-S008,10.11,1.77
5,BD-S020,11.88,2.66
0119181020-0-0,,2020-06-20T11:59:59
0,BD-S005,65.33,0.8
1,BD-S006,70.26,30
2,BD-S012,106.26,1
3,BD-S025,107.26,0
4,BD-S012,107.26,1
5,BD-S016,118.44,0.61
6,BD-S018,119.05,0
0119191020-0-0,,2020-06-20T11:59:59
0,BD-S005,73.72,0.8
1,BD-S006,81.06,30
2,BD-S012,112.26,1
